link_id,link,date,annons_id
52,https://www.bytbil.com/gavleborgs-lan/personbil-xv-2-0-d-147hk-4x4-drag-1645-11413608,2017-11-02,n
53,https://www.bytbil.com/orebro-lan/personbil-120-d-163-hkr-2123-11413553,2017-11-02,n
54,https://www.bytbil.com/stockholms-lan/personbil-golf-1-2-tsi-110hk-dsg-pluspaket-p-varmare-v-hjul-4605-11413605,2017-11-02,n
55,https://www.bytbil.com/dalarnas-lan/personbil-picanto-1-1-crdi-1641-11413602,2017-11-02,n
56,https://www.bytbil.com/sodermanlands-lan/personbil-superb-combi-ele-tdi-cr-170-aut-1559-11413600,2017-11-02,n
57,https://www.bytbil.com/vastmanlands-lan/personbil-q3-2-0-tdi-q-140hk-7310-11413599,2017-11-02,n
58,https://www.bytbil.com/jonkopings-lan/personbil-impala-sportcoupe-7622-11413536,2017-11-02,n
59,https://www.bytbil.com/ostergotlands-lan/personbil-c30-d2-1367-11413598,2017-11-02,n
60,https://www.bytbil.com/ostergotlands-lan/personbil-i40-kombi-1-7-crdi-business-edition-1367-11413596,2017-11-02,n
61,https://www.bytbil.com/ostergotlands-lan/personbil-9-3x-2-0t-biopower-sportscombi-xwd-1367-11413597,2017-11-02,n
62,https://www.bytbil.com/stockholms-lan/personbil-passat-sportscombi-sc-tdi190-dsg6-4m-gt-r-line-executive-drag-va-1948-11413592,2017-11-02,n
63,https://www.bytbil.com/stockholms-lan/personbil-passat-gte-dsg6-1948-11413595,2017-11-02,n
64,https://www.bytbil.com/stockholms-lan/personbil-golf-sportscombi-1-4-tgi-bm-dsg-masters-drag-varmare-1948-11413594,2017-11-02,n
65,https://www.bytbil.com/stockholms-lan/personbil-up-75hk-drivepaket-1948-11413593,2017-11-02,n
66,https://www.bytbil.com/stockholms-lan/personbil-golf-gtd-dsg-p-sensorer-1948-11413590,2017-11-02,n
67,https://www.bytbil.com/stockholms-lan/personbil-passat-variant-tdi-140-4m-masters-drag-varmare-1948-11413587,2017-11-02,n
68,https://www.bytbil.com/stockholms-lan/personbil-passat-sportscombi-tdi-190-dsg6-4m-gt-drag-1948-11413589,2017-11-02,n
69,https://www.bytbil.com/stockholms-lan/personbil-golf-1-2-tsi-105-masters-1948-11413588,2017-11-02,n
70,https://www.bytbil.com/stockholms-lan/personbil-passat-sportscombi-tdi-190-manuell-gt-drag-varmare-1948-11413591,2017-11-02,n
71,https://www.bytbil.com/stockholms-lan/personbil-passat-variant-tdi-140-4m-masters-drag-varmare-1948-11413586,2017-11-02,n
72,https://www.bytbil.com/stockholms-lan/personbil-passat-variant-passat-tdi140-4m-masters-drag-p-varmare-7573-11413583,2017-11-02,n
73,https://www.bytbil.com/stockholms-lan/personbil-passat-sportscombi-gte-dsg6-drag-p-varmare-7573-11413582,2017-11-02,n
74,https://www.bytbil.com/jonkopings-lan/personbil-tiguan-allspace-tdi-190-dsg7-4m-1904-11413579,2017-11-02,n
75,https://www.bytbil.com/jonkopings-lan/personbil-passat-sportscombi-c-tdi-190-dsg6-4m-1904-11413581,2017-11-02,n
76,https://www.bytbil.com/jonkopings-lan/personbil-tiguan-allspace-tdi-190-dsg7-4m-1904-11413577,2017-11-02,n
77,https://www.bytbil.com/jonkopings-lan/personbil-tiguan-tdi-190-dsg7-4m-1904-11413580,2017-11-02,n
78,https://www.bytbil.com/jonkopings-lan/personbil-fabia-style-tsi-95-1904-11413568,2017-11-02,n
79,https://www.bytbil.com/jonkopings-lan/personbil-fabia-style-tsi-90-1904-11413570,2017-11-02,n
80,https://www.bytbil.com/jonkopings-lan/personbil-a3-sportback-sb-1-6-tdi-utltra-110-hk-1904-11413566,2017-11-02,n
81,https://www.bytbil.com/jonkopings-lan/personbil-q3-2-0-tdi-q-140hk-1904-11413562,2017-11-02,n
82,https://www.bytbil.com/jonkopings-lan/personbil-sharan-tdi-150-man-4motion-1904-11413563,2017-11-02,n
83,https://www.bytbil.com/jonkopings-lan/personbil-passat-variant-tdi-170-dsg-gt-1904-11413565,2017-11-02,n
84,https://www.bytbil.com/jonkopings-lan/personbil-passat-sportscombi-alltrack-tdi-240-dsg-1904-11413573,2017-11-02,n
85,https://www.bytbil.com/jonkopings-lan/personbil-superb-amb-tsi-280-dsg-4x4-1904-11413576,2017-11-02,n
86,https://www.bytbil.com/jonkopings-lan/personbil-a5-sportback-a5-sb-2-0-tdi-190-hk-q-s-tron-s-line-1904-11413564,2017-11-02,n
87,https://www.bytbil.com/jonkopings-lan/personbil-fabia-style-tsi-90-1904-11413571,2017-11-02,n
88,https://www.bytbil.com/jonkopings-lan/personbil-golf-variant-tdi-bmt-masters-1904-11413561,2017-11-02,n
89,https://www.bytbil.com/jonkopings-lan/personbil-fabia-combi-style-tsi-95-1904-11413575,2017-11-02,n
90,https://www.bytbil.com/jonkopings-lan/personbil-fabia-style-tsi-95-1904-11413559,2017-11-02,n
91,https://www.bytbil.com/jonkopings-lan/personbil-golf-sportscombi-2-0-tdi-150-4m-gt-1904-11413560,2017-11-02,n
92,https://www.bytbil.com/jonkopings-lan/personbil-octavia-tdi-105-1904-11413557,2017-11-02,n
93,https://www.bytbil.com/jonkopings-lan/personbil-passat-alltrack-177-dsg4m-1904-11413554,2017-11-02,n
94,https://www.bytbil.com/jonkopings-lan/personbil-fabia-style-tsi-90-1904-11413555,2017-11-02,n
95,https://www.bytbil.com/jonkopings-lan/personbil-a3-sportback-a3-sb-1-6-tdi-utltra-110-hk-1904-11413558,2017-11-02,n
96,https://www.bytbil.com/jonkopings-lan/personbil-a4-avant-audi-2-0-tdi-190hk-sport-q-st-1904-11413556,2017-11-02,n
97,https://www.bytbil.com/vastmanlands-lan/personbil-yaris-1-5-hsd-5dr-75hk-hybrid-aut-8537-11413551,2017-11-02,n
98,https://www.bytbil.com/vastmanlands-lan/personbil-corsa-1-3-cdti-ecoflex-5dr-75hk-varmare-8537-11413552,2017-11-02,n
99,https://www.bytbil.com/vasterbottens-lan/personbil-golf-1-4-tsi-multifuel-125hk-3016-11413550,2017-11-02,n
100,https://www.bytbil.com/stockholms-lan/personbil-passat-2-3-automat-bes-dragkrok-6797-11413533,2017-11-02,n
101,https://www.bytbil.com/vastmanlands-lan/personbil-superb-combi-style-tdi-190-dsg-4x4-7309-11413549,2017-11-02,n
102,https://www.bytbil.com/gavleborgs-lan/personbil-tiguan-1-4-tsi-4motion-r-line-dragkrok-branslevarmare-vin-6404-11413548,2017-11-02,n
103,https://www.bytbil.com/ostergotlands-lan/personbil-a6-allroad-quattro-3-0-218hk-quattro-s-tronic-4772-11413547,2017-11-02,n
104,https://www.bytbil.com/ostergotlands-lan/personbil-a5-sportback-a5-sb-2-0tdi-190-hk-q-str-sport-4772-11413546,2017-11-02,n
105,https://www.bytbil.com/ostergotlands-lan/personbil-a5-sportback-a5-sb-2-0tdi-190-hk-q-str-sport-4772-11413545,2017-11-02,n
106,https://www.bytbil.com/skane-lan/personbil-caddy-trend-1-2l-tsi-77-kw-2042-11413542,2017-11-02,n
107,https://www.bytbil.com/skane-lan/personbil-golf-1-2-tsi-110-2042-11413543,2017-11-02,n
108,https://www.bytbil.com/skane-lan/personbil-caddy-comf-dsg-1-6-tdi-75-kw-2042-11413540,2017-11-02,n
109,https://www.bytbil.com/vastra-gotalands-lan/personbil-tiguan-tsi-180hk-dsg-4m-2592-11413539,2017-11-02,n
110,https://www.bytbil.com/orebro-lan/personbil-partner-1-6-hdi-90hkr-2123-11413535,2017-11-02,n
111,https://www.bytbil.com/jonkopings-lan/personbil-a4-2-0-sedan-s-line-gps-12man-garanti-6191-11413523,2017-11-02,n
112,https://www.bytbil.com/orebro-lan/personbil-caddy-2-0-ecofuel-2123-11413530,2017-11-02,n
113,https://www.bytbil.com/orebro-lan/personbil-v70-d5-23000mil-billigast-i-sverige-8685-11413527,2017-11-02,n
114,https://www.bytbil.com/stockholms-lan/personbil-a6-allroad-2-7t-250hk-tiptronic-skinn-dr-6420-11413525,2017-11-02,n
115,https://www.bytbil.com/norrbottens-lan/personbil-a3-1-6-tdi-5dr-2984-11413519,2017-11-02,n
116,https://www.bytbil.com/stockholms-lan/personbil-passat-2-0-tdi190-r-line-dsg-4-motion-dragpaket-6759-11413483,2017-11-02,n
117,https://www.bytbil.com/stockholms-lan/personbil-e-200cdi-aut-sedan-amg-lagmil-7666-11413518,2017-11-02,n
118,https://www.bytbil.com/stockholms-lan/personbil-cherokee-2-8-crd-4wd-drag-aut-pdc-6741-11413509,2017-11-02,n
119,https://www.bytbil.com/orebro-lan/personbil-v70-d5-2-4d-163-hkr-2123-11413517,2017-11-02,n
120,https://www.bytbil.com/stockholms-lan/personbil-trans-sport-3-4-v6188hkauto-7sits-awd-n-besik-6170-11413291,2017-11-02,n
121,https://www.bytbil.com/dalarnas-lan/personbil-rio-1-5-ls-man-ny-kamrem-6300-mil-7752-11413513,2017-11-02,n
122,https://www.bytbil.com/vastra-gotalands-lan/personbil-c-200-kompressor-kombi-auto-5241-11413506,2017-11-02,n
123,https://www.bytbil.com/stockholms-lan/personbil-s-max-2-0-tdci-140hk-kamrem-bytt-ac-6420-11413468,2017-11-02,n
124,https://www.bytbil.com/dalarnas-lan/personbil-e-220-cdi-sportpkt-fleetedition-aut-drag-6897-11413505,2017-11-02,n
125,https://www.bytbil.com/kronobergs-lan/personbil-camry-2-4-156hk-sov-7784-11413504,2017-11-02,n
126,https://www.bytbil.com/kronobergs-lan/personbil-320d-touring-sportline-ede-163hk-2109-11413499,2017-11-02,n
127,https://www.bytbil.com/kronobergs-lan/personbil-520-d-a-xdrive-touring-sportpaket-190hk-2109-11413498,2017-11-02,n
128,https://www.bytbil.com/kalmar-lan/personbil-207-gt-1-6-hdi-5d-6597-11413496,2017-11-02,n
129,https://www.bytbil.com/sodermanlands-lan/personbil-320-d-gt-x-drive-m-sport-ny-servad-5996-11413325,2017-11-02,n
130,https://www.bytbil.com/ostergotlands-lan/personbil-s-500-nightvivision-m-m-fin-7397-11413487,2017-11-02,n
131,https://www.bytbil.com/vastmanlands-lan/personbil-scenic-2-0-16v-140hk-8604-11413465,2017-11-02,n
132,https://www.bytbil.com/stockholms-lan/personbil-a4-2-0tdi-sport-sedan-170hk-7666-11413480,2017-11-02,n
133,https://www.bytbil.com/ostergotlands-lan/personbil-m5-v10-fullutrustad-s-vsald-9900mil-7397-11413478,2017-11-02,n
134,https://www.bytbil.com/vastra-gotalands-lan/personbil-v60-d2-r-design-drag-8200-11413303,2017-11-02,n
135,https://www.bytbil.com/vasternorrlands-lan/personbil-passat-2-0-tdi-variant-4-motion-drag-5217-11413473,2017-11-02,n
136,https://www.bytbil.com/stockholms-lan/personbil-civic-hybrid-aut-fullserv-lag-skatt-5597-11413471,2017-11-02,n
137,https://www.bytbil.com/ostergotlands-lan/personbil-clio-ac-kamrem-bytt-12000-mil-7397-11413470,2017-11-02,n
138,https://www.bytbil.com/vasternorrlands-lan/personbil-octavia-scout-2-0-tdi-4x4-nyb-drag-915-man-5217-11413463,2017-11-02,n
139,https://www.bytbil.com/stockholms-lan/personbil-a4-2-0-tdi-190-quattro-s-line-euro-6-drag-8546-11413345,2017-11-02,n
140,https://www.bytbil.com/vastra-gotalands-lan/personbil-freemont-2-0-170-hk-4wd-7-sitsig-black-edition-1958-11413461,2017-11-02,n
141,https://www.bytbil.com/vastra-gotalands-lan/personbil-i30-1-6-crdi-kombi-business-1533-11413460,2017-11-02,n
142,https://www.bytbil.com/vastra-gotalands-lan/personbil-320-d-xdrive-gt-fria-v-hjul-1-95-ranta-7073-11413456,2017-11-02,n
143,https://www.bytbil.com/uppsala-lan/personbil-c-c-180-komp-8300-11413332,2017-11-02,n
144,https://www.bytbil.com/vasternorrlands-lan/personbil-2-1-3-5dr-75hk-nybes-0-ranta-5217-11413349,2017-11-02,n
145,https://www.bytbil.com/ostergotlands-lan/personbil-9000-2-0t-acc-larm-en-bra-bil-7397-11413351,2017-11-02,n
146,https://www.bytbil.com/vasterbottens-lan/personbil-passat-alltrack-2-0-tdi-bmt-4motion-aut-plus-hellader-plus-4wd-plus-177hk-7454-11413457,2017-11-02,n
147,https://www.bytbil.com/vasterbottens-lan/personbil-touran-2-0-tdi-gt-aut-plus-backkamera-plus-panoramatak-plus-177hk-7454-11413458,2017-11-02,n
148,https://www.bytbil.com/vasterbottens-lan/personbil-focus-1-8-flexifuel-kombi-125hk-7454-11413459,2017-11-02,n
149,https://www.bytbil.com/vastra-gotalands-lan/personbil-320-d-xdrive-gt-fria-v-hjul-1-95-ranta-7073-11413389,2017-11-02,n
150,https://www.bytbil.com/skane-lan/personbil-c-200-cdi-kombi-amg-pkt-aut-plus-136hk-7489-11413446,2017-11-02,n
151,https://www.bytbil.com/skane-lan/personbil-q3-2-0-tdi-sports-edition-140hk-7489-11413449,2017-11-02,n
152,https://www.bytbil.com/skane-lan/personbil-passat-1-4-tsi-ecofuel-variant-masters-150hk-7489-11413447,2017-11-02,n
153,https://www.bytbil.com/skane-lan/personbil-cayenne-diesel-aut-plus-hellader-plus-4wd-plus-262hk-7489-11413448,2017-11-02,n
154,https://www.bytbil.com/skane-lan/personbil-320-i-coupe-170hk-7489-11413450,2017-11-02,n
155,https://www.bytbil.com/skane-lan/personbil-a5-3-0-tdi-coupe-quattro-s-line-aut-plus-lader-alcanatara-plus-4wd-plus-gps-plus-24-7489-11413451,2017-11-02,n
156,https://www.bytbil.com/skane-lan/personbil-tiguan-1-4-tsi-4motion-r-line-4wd-plus-backkamera-plus-gps-plus-panoramatak-plus-16-7489-11413452,2017-11-02,n
157,https://www.bytbil.com/vasternorrlands-lan/personbil-octavia-iii-2-0-tdi-cr-combi-4x4-elegance-4wd-plus-150hk-6848-11413443,2017-11-02,n
158,https://www.bytbil.com/vasternorrlands-lan/personbil-focus-1-6-tdci-econetic-105hk-6848-11413445,2017-11-02,n
159,https://www.bytbil.com/vasternorrlands-lan/personbil-v70-ii-d3-momentum-136hk-6848-11413444,2017-11-02,n
160,https://www.bytbil.com/vasternorrlands-lan/personbil-xc70-ii-d4-awd-momentum-be-4wd-plus-hellader-plus-181hk-6848-11413442,2017-11-02,n
161,https://www.bytbil.com/stockholms-lan/personbil-x3-xdrive20d-aut-plus-4wd-plus-panoramatak-plus-190hk-4217-11413435,2017-11-02,n
162,https://www.bytbil.com/stockholms-lan/personbil-v60-d4-ocean-race-aut-plus-hellader-plus-gps-plus-190hk-4217-11413432,2017-11-02,n
163,https://www.bytbil.com/stockholms-lan/personbil-9-3-1-8t-biopower-sportcombi-linear-aut-plus-150hk-4217-11413437,2017-11-02,n
164,https://www.bytbil.com/stockholms-lan/personbil-prius-1-5-hybrid-aut-plus-backkamera-plus-78hk-4217-11413433,2017-11-02,n
165,https://www.bytbil.com/stockholms-lan/personbil-520-d-xdrive-touring-aut-plus-hellade4wd-plus-plus-190hk-4217-11413440,2017-11-02,n
166,https://www.bytbil.com/stockholms-lan/personbil-tiguan-2-0-tdi-4motion-bmt-aut-plus-hellader-plus-4wd-plus-gps-plus-backkamera-plus-177h-4217-11413439,2017-11-02,n
167,https://www.bytbil.com/stockholms-lan/personbil-freemont-2-0-multijet-awd-lounge-aut-plus-hellader-plus-4wd-plus-backkamera-plus-gp-4217-11413436,2017-11-02,n
168,https://www.bytbil.com/stockholms-lan/personbil-golf-a5-1-6-multifuel-e85-masters-102hk-4217-11413428,2017-11-02,n
169,https://www.bytbil.com/stockholms-lan/personbil-prius-1-5-hybrid-aut-plus-78hk-4217-11413427,2017-11-02,n
170,https://www.bytbil.com/stockholms-lan/personbil-cr-v-2-0-4wd-plus-150hk-4217-11413426,2017-11-02,n
171,https://www.bytbil.com/stockholms-lan/personbil-x3-2-0d-4wd-plus-150hk-4217-11413424,2017-11-02,n
