2017-11-07,16
2017-11-07,9
2017-11-07,14
2017-11-08,98
2017-11-08,0
2017-11-08,102
2017-11-08,99
2017-11-09,109
2017-11-10,342
2017-11-11,346
2017-11-12,140
2017-11-13,247
2017-11-14,229
2017-11-15,432
2017-11-16,252
2017-11-17,406
2017-11-18,111
2017-11-19,269
2017-11-20,396
2017-11-21,376
2017-11-22,303
2017-11-23,281
2017-11-24,239
2017-11-25,132
2017-11-26,255
2017-11-27,318
2017-11-28,293
2017-11-29,291
2017-11-30,284
2017-12-01,179
2017-12-02,400
2017-12-03,133
2017-12-04,359
2017-12-05,335
2017-12-06,374
2017-12-07,326
2017-12-08,432
